Favorite Count,Author,Link to Author,Cartridge Title,Link to Cart
86,Eduardolicious,https://www.lexaloffle.com/bbs/?uid=12867,Wizardish - A First-Person Grid-Based Dungeon Crawler! v2.1 tiny update,https://www.lexaloffle.com/bbs/?tid=3585
86,SophieHoulden,https://www.lexaloffle.com/bbs/?uid=10355,Curse of Greed ULTIMATE,https://www.lexaloffle.com/bbs/?tid=30528
85,Gadzooka,https://www.lexaloffle.com/bbs/?uid=11524,Wizards Rule,https://www.lexaloffle.com/bbs/?tid=2867
85,YellowAfterlife,https://www.lexaloffle.com/bbs/?uid=9596,Stories at the dawn,https://www.lexaloffle.com/bbs/?tid=1919
84,lucatron,https://www.lexaloffle.com/bbs/?uid=10152,Mellow,https://www.lexaloffle.com/bbs/?tid=36520
84,JTE,https://www.lexaloffle.com/bbs/?uid=2836,Frog Home,https://www.lexaloffle.com/bbs/?tid=2796
84,johanp,https://www.lexaloffle.com/bbs/?uid=15227,Polar Panic,https://www.lexaloffle.com/bbs/?tid=36118
84,sol,https://www.lexaloffle.com/bbs/?uid=37852,Sybil's Tail 1.1.2,https://www.lexaloffle.com/bbs/?tid=35404
83,CarsonK,https://www.lexaloffle.com/bbs/?uid=46088,iii Demake,https://www.lexaloffle.com/bbs/?tid=39389
83,emu,https://www.lexaloffle.com/bbs/?uid=12911,The Slow and the Curious,https://www.lexaloffle.com/bbs/?tid=3597
83,benjamin_soule,https://www.lexaloffle.com/bbs/?uid=9308,Soulbound,https://www.lexaloffle.com/bbs/?tid=39820
83,eevee,https://www.lexaloffle.com/bbs/?uid=13006,Star Anise Chronicles: Oh No Wheres Twig??,https://www.lexaloffle.com/bbs/?tid=37868
82,Rhys,https://www.lexaloffle.com/bbs/?uid=9645,3D Racing Game WIP,https://www.lexaloffle.com/bbs/?tid=2740
82,Bigchanguito,https://www.lexaloffle.com/bbs/?uid=13864,Galactic Wars,https://www.lexaloffle.com/bbs/?tid=28783
82,yellowbaron,https://www.lexaloffle.com/bbs/?uid=12916,Tiny Sim,https://www.lexaloffle.com/bbs/?tid=3393
82,Saffith,https://www.lexaloffle.com/bbs/?uid=20846,Barp the Balldragon,https://www.lexaloffle.com/bbs/?tid=31546
82,beepyeah,https://www.lexaloffle.com/bbs/?uid=26822,Valdi: Shadows,https://www.lexaloffle.com/bbs/?tid=31664
81,oinariman,https://www.lexaloffle.com/bbs/?uid=9547,Cave Berries,https://www.lexaloffle.com/bbs/?tid=1834
81,eggnog,https://www.lexaloffle.com/bbs/?uid=22245,Maze Dog,https://www.lexaloffle.com/bbs/?tid=29967
81,Reload,https://www.lexaloffle.com/bbs/?uid=5793,Succer,https://www.lexaloffle.com/bbs/?tid=2614
81,Mot,https://www.lexaloffle.com/bbs/?uid=39676,Mot's Grand Prix,https://www.lexaloffle.com/bbs/?tid=44700
80,kometbomb,https://www.lexaloffle.com/bbs/?uid=12489,Worm Nom Nom,https://www.lexaloffle.com/bbs/?tid=3547
80,blizzz,https://www.lexaloffle.com/bbs/?uid=22654,Lemonhunter,https://www.lexaloffle.com/bbs/?tid=28740
